No.,Komentar,Kelas
1,"sudah beberapa kali pake tapi belum pernah ada keluhan, agak telat dikit masih wajar lah. yg terakhir pelayanannya bagus! padahal saya pake nya , bukan .!",Positif
2,"Entah, banyak yang bilang pelayanan J&T buruk. Tapi untuk saya pribadi, selama ini belum pernah mendapat kendala apapun dari J&T, selalu tepat waktu. Mau dari Bandung, Yogya, Medan, semuanya tepat waktu.",Positif
3,J&T bagus banget.....,Positif
4,Playanan memuaskan mantaaap,Positif
5,J&T OKE,Positif
6,Luar biasa memuaskan  ,Positif
7,Sesuai dengan pelayanannya,Positif
8,Alhamdulillah selama menggunakan jasa J&T baik sbg pengirim maupun penerima selalu dilayani dengan baik.,Positif
9,"J&T TOP DAH! Cepet,dan keadaan barang baik terus^",Positif
10,"J&T KRENNNNNN.,berkat J&T ,Pengiriman HAKIM ZAY SHOP Online berjalan lancaar..Makasi J&T..",Positif
11,Mantep pengiriman jd lebih cepat sehari J&T Reg nyampe.. J&T oke!!,Positif
12,"Hampir setiap pengiriman yang saya lakukan / saya terima sangat cepat, mungkin karena saya menggunakan service  .",Positif
13,"terima kasih J&T MANGGAR SUB AGEN BELITUNG TIMUR. paket saya sudah sampai pagi ini, jasa pelayanan anda sangat baik.",Positif
14,"Sipp lah walaupun alamat saya daerah Gunung tapi tepat waktu, yahudd lah, mkasih J&T ",Positif
15,"J&T mantap,cepat, hehehehe ",Positif
16,J&T pelayanan nya cepat,Positif
17,Agen pengiriman yang baik,Positif
18,"J&T TOP loh,, cepat sampai..",Positif
19,Sudah cinta dg J&T susah berpaling ke lain ny. Bagus sekali,Positif
20,"Terimakasih J&T , Selama saya memakai jasa J&T dari pertama melayani penjualan secara online di toko kami ,selalu tepat waktu !! Dan Pelayanan bagus ! keluhan selalu cepat di tangani . Terimakasih J&T !!",Positif
21,"Akibat salah klik, paketan barangq sempat nyasar sampai bengkulu. Tapi setelah kuhubungii, barang tetap terkirim ke Bondowoso, Jatim dengan selamat. Terima kasih J&T, pelayanannya TOP banget.",Positif
22,Pekerjaan bagus J&T...tepat waktu,Positif
23,TOP-BGT...............,Positif
24,Puass puass puasss puaaaaaasssssssssssssssssss..........,Positif
25,Bagus dan baik pekerjaan,Positif
26,saya suka,Positif
27,"Puji Tuhan selama membeli barang diluar kota,parcel di kirim memakai jasa J&T 100% mulus,tidak ada kendala,terima kasih J&T. J&T super bagus",Positif
28,Overall J&T sangat bagus untuk digunakan seabgai kurir bisnis online. Ane Pake Untuk Belanja Lewat toped bberapa kali - aman sampai ke tangan - tapi kadang terlat juga sih..,Positif
29,"Walau J&T sering gangguan, tapi alhamdulilah barang sampai dengan selamat.. Thanks J&T",Positif
30,Selalu pake J&T.... Karna uda langgna biar ga pake  juga.suka datang hari minggu... Heheheh atau malah pas ketemu di jalan. Tetep cepet dan kondisi barang diterima juga okeh! Thx J&T...,Positif
31,Dikirimi paket dari Makassar ke Padang pakai J&T . Sesuai janji 1 hari sampai. Barang tetap diantar kurir walaupun dihari lebaran. Tingkatan,Positif
32,"paketan-paketan saya sampai kerumah, kirain bakalan tidak sampai karena menjelang lebaran ternyata sampai.. Terima kasih J&T",Positif
33,J&T luar biasaaa.. kurir J&T bekerja diterima di alamat tujuan tepat waktu. semangat untuk kurir2 J&T! Kerja keras kalian luar biasa top.,Positif
34,"Paket dikirim tanggal 29 juni, nyampe hari ini tanggal 1 Juli jam 8malem..puas sama kurir J&T nya yang masih nganter jam segitu.. Terima kasih J&T",Positif
35,"bagus kok, semangat J&T",Positif
36,Makasih buat J&T antar barang sangat cepat.,Positif
37,Saya kagum dengan kerja J&T. Sy suka belanja online jadi banyak sekali paket yg dikirim kerumah saya lewat jasa J&T. Semua paket sampai dengan selamat dan tepat waktu.,Positif
38,"Terima Kasih J&T atas Kerja keras nya,,saya selama pke J&T belum pernah dapat kendala sekecil apapun..makasih rekomendasi bgt deh,abaikan saja haters2",Positif
39,"Saya baru dua kali menggunakan J&T , saya akui sampai saat ini layanannya bagus",Positif
40,saya sangat suka dengan Pelayanan J&T yang diberikan kepada pelanggan sehingga Customer merasa Nyaman memakai Jasa Kurir ini,Positif
41,Terimakasih J&T yang selalu ada Buat Saya,Positif
42,Cepat dan expres top,Positif
